Serial_No,car_name,car_price,car_driven,fuel_type,tranmiion,ownerhip,manufacture,engine,seat
0,Jeep Compa 2.0 Longitude Option BIV,10.03,"86,226",Dieel,Manual,1t Owner,2017,1956,5
1,Renault Duter RXZ Turbo CVT,12.83,"13,248",Petrol,Automatic,1t Owner,2021,1330,5
2,Toyota Camry 2.5 G,16.4,"60,343",Petrol,Automatic,1t Owner,2016,2494,5
3,Honda Jazz VX CVT,7.77,"26,696",Petrol,Automatic,1t Owner,2018,1199,5
4,Volkwagen Polo 1.2 MPI Highline,5.15,"69,414",Petrol,Manual,1t Owner,2016,1199,5
5,Volkwagen Vento 1.2 TI Highline AT,7.66,"49,719",Petrol,Automatic,1t Owner,2017,1197,5
6,Volkwagen Vento 1.2 TI Highline Plu AT,7.58,"43,688",Petrol,Automatic,1t Owner,2017,1197,5
7,Honda WR-V VX Dieel,11.6,"14,470",Dieel,Manual,1t Owner,2021,1498,5
8,Honda City i VTEC CVT V,6.99,"21,429",Petrol,Automatic,1t Owner,2015,1497,5
9,Renault Duter Petrol RX CVT,7.53,"31,750",Petrol,Automatic,1t Owner,2017,1498,5
10,Maruti Baleno 1.2 Alpha,6.43,"38,203",Petrol,Manual,1t Owner,2017,1197,5
11,Honda City i VTEC CVT V,5.43,"1,10,284 ",Petrol,Automatic,1t Owner,2014,1497,5
12,Mahindra XUV300 W6,8.62,"10,381",Petrol,Manual,1t Owner,2020,1197,5
13,Jeep Compa 1.4 Limited Plu BIV,16.78,"32,378",Petrol,Automatic,1t Owner,2019,1368,5
14,Honda City V MT,10.03,"38,906",Petrol,Manual,1t Owner,2020,1498,5
15,Hyundai Grand i10 AT Ata,5.63,"59,313",Petrol,Automatic,2nd Owner,2016,1197,5
16,Hyundai i20 1.4 Ata,6.67,"85,672",Dieel,Manual,1t Owner,2017,1396,5
17,Maruti Ciaz 1.4 Delta,6.73,"34,971",Petrol,Manual,2nd Owner,2017,1373,5
18,Nian Micra XL Optional,3.21,"35,894",Petrol,Manual,2nd Owner,2015,1198,5
