Total_Cases,Total_Death
4900210,91259
4896727,91226
4894391,91204
4891987,91174
4889691,91147
4887702,91111
4885426,91061
4882683,91023
4879169,78336
4875374,78294
4871355,78247
4867556,18295
4863690,18242
4859037,18192
4852776,18126
4845027,18072
4836633,17978
4827425,17904
4818146,17837
4808767,17762
4782878,17690
4761584,17616
4734961,17532
4705589,17470
4613307,17336
4596884,17273
4580698,17198
4560468,17124
4537107,17062
4507900,17010
4480070,16938
4455175,16876
4434310,16817
4415684,16764
4396286,16717
4375031,16667
4353669,16628
4333417,16589
4313712,16589
4290815,16506
4275828,16506
4239595,16416
4221819,16390
4215617,16348
4199891,16316
4182811,16297
4167941,16262
4146984,16225
4123336,16200
4097741,16176
4070575,16155
4039789,16132
4004311,16105
3967054,16083
3931982,16067
3892221,16047
3851748,16031
3837220,16012
3764783,16001
3719252,15986
3705990,15970
3627131,15957
3580291,15930
3533755,15910
3490482,15901
3449676,15885
3437108,15872
3373507,15860
3364415,15847
3329533,15834
3295792,15819
3242270,15809
3210359,15801
3200035,15789
3153405,15781
3129859,16091
3108324,16081
3100114,16072
3070130,16066
3053673,16056
3046538,16047
3026615,16034
3013968,15707
3002843,15702
2997306,15689
2984649,15671
2976228,15660
2967572,15650
2959481,15642
2952291,15629
2944653,15617
2937389,15605
2930381,15597
2923470,15590
2916167,15582
2909352,15575
2902917,15565
2896422,15558
2889897,15554
2882971,15547
2876602,15538
2870228,15529
2864168,15517
2858293,15510
2852031,15505
2845461,15500
2838844,15493
2832279,15486
2825166,15478
2820009,15469
2811879,15460
2804912,15450
2799588,15447
2791596,15434
2785437,15432
2779780,15426
2775058,15416
2770859,15408
2766475,15405
2762150,15399
2757442,15393
2752556,15385
2747530,15380
2742421,15366
2737936,15360
2733103,15348
2728374,15338
2722353,15331
2716077,15166
2709291,15149
2702866,15140
2696527,15133
2689291,15123
2680816,15100
2671881,15084
2661940,15068
2652714,15062
2644191,15052
2635990,15042
2626983,15031
2616674,15020
